,news_id,general_category,title,abstract,text,tfidf_vector,sbert_vector,openai_vector
122,N15695,football,The 5 NFL teams that are most desperate for a win in Week 7,The Chiefs and Cowboys need some wins. But they aren't alone.,The 5 NFL teams that are most desperate for a win in Week 7 The Chiefs and Cowboys need some wins. But they aren't alone.,"[0.345791244057806, -0.19433381396318714, 0.11029360632233451, 0.0019837292899963638, 0.050920583108251594, -0.007533692771910382, 0.14273853730756467, -0.0679582038829682, 0.19598844006655794, -0.04434705914309957]","[-0.31680893898010254, 0.24447773396968842, 0.19960126280784607, 0.06560607999563217, -0.16974970698356628, 0.1957220584154129, -0.09546643495559692, 0.0034911916591227055, 0.15161122381687164, -0.0648074522614479]","[0.16105061879161361, -0.30863060669972625, -0.15546139344955617, -0.06309657760771008, 0.012224089931119873, -0.06929934489235275, 0.11466266542319643, -0.058242603811656, -0.16604840831902443, 0.10501258210067684]"
123,N44395,football,UPDATED: Adam Thielen injured on touchdown catch against Detroit Lions,He landed hard on the tying score,UPDATED: Adam Thielen injured on touchdown catch against Detroit Lions He landed hard on the tying score,"[0.0726419944153034, -0.06518282113645414, -0.08130451796798559, 0.13089335836899182, 0.07092449415905631, -0.07401248822791187, -0.07776753389047505, 0.18018948544797558, -0.22410869945654596, -0.09504575103897049]","[-0.21137212216854095, -0.012052706442773342, 0.11537262052297592, 0.001610447303391993, 0.36954399943351746, 0.051166776567697525, -0.014886215329170227, -0.044781170785427094, -0.1003929004073143, 0.07319680601358414]","[0.17020924192311315, -0.12356178604459153, 0.10534075184806782, -0.04490843174392995, -0.1469752999161396, -0.05591034404866762, -0.15002355079198085, 0.05196680029981311, 0.15589873327964787, 0.07426998061302559]"
124,N33529,football,AFC North Roundup: Week 8,It's lonely at the top . . .,AFC North Roundup: Week 8 It's lonely at the top . . .,"[0.2111041988835474, -0.038970516908331906, 0.11901082993672395, -0.07817178586724907, -0.006686795317232613, 0.007361465361311861, -0.013791513516842135, 0.019466439126086265, -0.03202634762705679, 0.03101826400544849]","[-0.34273526072502136, 0.32875698804855347, 0.09064667671918869, 0.15709632635116577, -0.15333592891693115, 0.12140007317066193, -0.007658887188881636, 0.04291944205760956, 0.07576660066843033, -0.11120570451021194]","[0.1379048178345003, -0.3185770319213976, -0.07784348998205144, -0.03270662812832749, 0.12794202576749927, 0.02557207685648642, 0.1351314072217926, -0.10068462499795766, -0.016862526676656442, -0.09333363155486529]"
125,N22203,football,Jamel Dean's bounce-back performance gives the Bucs' young secondary a glimmer of hope,The rookie showed that he is capable of competing in the NFL on Sunday.,Jamel Dean's bounce-back performance gives the Bucs' young secondary a glimmer of hope The rookie showed that he is capable of competing in the NFL on Sunday.,"[0.12292146364020046, 0.0012146168779949272, 0.003545687186167563, 0.057449217667342, 0.08101336067418442, -0.10960850492357647, 0.011118457754183747, -0.16484480883564015, 0.11145921779259171, -0.14074441496756826]","[-0.148751899600029, -0.015688659623265266, -0.20285139977931976, -0.04586745798587799, 0.008380701765418053, -0.06278400123119354, 0.24235272407531738, 0.031356316059827805, -0.18502065539360046, -0.006922455038875341]","[0.09709304697762007, -0.1061623350250811, 0.06427129558489321, 0.14917054949391048, 0.13458865597557348, -0.02200657420675283, -0.11828011289595376, 0.20809228122776702, 0.1559773285547448, -0.15973007235473444]"
126,N47813,football,The Live Mascots of College Football,The Live Mascots of College Football,The Live Mascots of College Football The Live Mascots of College Football,"[-0.030960708996094165, -0.11068189360163905, -0.08260509832009738, -0.1928413873812091, -0.14016054255361385, -0.1312266827566591, 0.026436156274786987, 0.047610982001970024, 0.00040422810191076446, 0.2642838736087315]","[0.10331995040178299, 0.3454241156578064, -0.24173684418201447, 0.034455765038728714, -0.13429373502731323, -0.09208542108535767, -0.06950739771127701, -0.24719612300395966, 0.03153027966618538, 0.01778911054134369]","[-0.16373209856452065, -0.07944428051432349, 0.11767466306944431, -0.02316703446284768, 0.17009935727741413, 0.16148572769762026, -0.03656521208457673, -0.1951079922762846, -0.009618728830833772, 0.03981451165760571]"
127,N14992,football,Southern California targeting Cincinnati's Mike Bohn as next athletic director,"USC appears to have found its new athletic director to replace Lynn Swann. Mike Bohn of Cincinnati, who previously at Colorado, is expected to be hired.","Southern California targeting Cincinnati's Mike Bohn as next athletic director USC appears to have found its new athletic director to replace Lynn Swann. Mike Bohn of Cincinnati, who previously at Colorado, is expected to be hired.","[-0.013746782348949922, 0.09073081581504167, -0.019477184570060726, -0.018786150081634926, 0.009621825321772456, -0.023339029836317363, -0.02368569235393546, 0.027501381425782616, -0.03731465820153447, 0.031224789589020044]","[0.07590048015117645, -0.0971657782793045, -0.3789551556110382, 0.01449213270097971, -0.24391311407089233, -0.14089184999465942, -0.059920310974121094, -0.12307272106409073, 0.02997685968875885, 0.15285435318946838]","[-0.12079647785226633, 0.20447730593380894, 0.16211148526084712, -0.07869250547921397, 0.21221873985324854, 0.046566727979821594, 0.16632044247992248, -0.1073219109703595, -0.024338357794871417, 0.09011024593005422]"
128,N34020,football,Malcolm Butler leaves Titans-Panthers game with wrist injury,A disastrous first half for the Titans got worse when cornerback Malcolm Butler left the game late in the second quarter with an injury.,Malcolm Butler leaves Titans-Panthers game with wrist injury A disastrous first half for the Titans got worse when cornerback Malcolm Butler left the game late in the second quarter with an injury.,"[0.009584449522173908, -0.07362456196792189, -0.0686078489196259, 0.1962071062782156, -0.04202278267194264, 0.1446201134247045, 0.025749778607602813, -0.09873928004069148, 0.10470121465328092, 0.01979347995189354]","[-0.13926346600055695, 0.01963825337588787, -0.048352062702178955, -0.07842471450567245, 0.2448635995388031, 0.059315796941518784, -0.13608628511428833, -0.12773115932941437, -0.09508253633975983, -0.031900230795145035]","[0.1578640550148798, -0.03464791772865012, 0.20794693211567133, 0.03664383595581861, -0.20030853228734227, -0.04957010664517872, -0.08047720206363203, -0.08012958625812878, 0.16880615098183593, 0.015102061198798011]"
129,N38379,basketball,Why Ja Morant and Brandon Clarke missed Memphis Grizzlies loss to Mavericks,The Grizzlies' decision to sit Ja Morant and Brandon Clarke for a weekend home game did not sit well with some fans. Here's why they did it.,Why Ja Morant and Brandon Clarke missed Memphis Grizzlies loss to Mavericks The Grizzlies' decision to sit Ja Morant and Brandon Clarke for a weekend home game did not sit well with some fans. Here's why they did it.,"[-0.039183654093516464, 0.018958805601837728, -0.012700594714751321, 0.06719067748844262, -0.057674543668207214, 0.07362713179543925, -0.03026113684118899, -0.05167212609140256, -0.01905272613135881, -0.03952821267827723]","[0.10860273241996765, -0.1044045090675354, 0.0593317374587059, -0.18306101858615875, 0.09668727964162827, 0.20063747465610504, -0.08589097112417221, -0.023302529007196426, -0.19971251487731934, -0.15284593403339386]","[-0.05282889040753985, 0.048512712646934755, -0.00042355243400962175, 0.22243573322216634, -0.2491381690071588, -0.10685596689966206, 0.03736268160442801, -0.002245296141391568, -0.06227876531296267, 0.07606257380070719]"
130,N12134,football,NFL Rumors: Patriots Cutting Kicker Mike Nugent After Recent Misses,The New England Patriots reportedly need another new kicker. The Patriots are releasing kicker Mike Nugent sources told The MMQB's Albert Breer on Tuesday. nesn embed the score team= patriots Nugent,NFL Rumors: Patriots Cutting Kicker Mike Nugent After Recent Misses The New England Patriots reportedly need another new kicker. The Patriots are releasing kicker Mike Nugent sources told The MMQB's Albert Breer on Tuesday. nesn embed the score team= patriots Nugent,"[0.19194312329683988, 0.3761262584515391, 0.005404928660337863, -0.011938438979320462, -0.11023929613902987, -0.08575291064420378, -0.05364766843577708, 0.09957579031989951, 0.06913971102300868, -0.043792270095823364]","[-0.30957597494125366, -0.18465949594974518, -0.03765194118022919, 0.07380524277687073, -0.018303820863366127, -0.05608411505818367, -0.18350207805633545, -0.06044260784983635, 0.10291733592748642, 0.29628610610961914]","[0.30321503623278334, 0.10956300114160923, 0.09757100712484709, -0.05450734025040257, -0.01723055727299746, 0.04635094008072383, 0.029957054860947133, -0.18341031278507652, -0.042299053012218514, -0.027414869121772052]"
131,N24158,football,Tom Brady Clarifies Context Of Netflix Series Acting Cameo Outside Spa,FOXBORO Mass. -- New England Patriots quarterback Tom Brady was not happy with the reaction to his cameo acting appearance that surfaced Friday night on Netflix's Living With Yourself. In the clip,Tom Brady Clarifies Context Of Netflix Series Acting Cameo Outside Spa FOXBORO Mass. -- New England Patriots quarterback Tom Brady was not happy with the reaction to his cameo acting appearance that surfaced Friday night on Netflix's Living With Yourself. In the clip,"[0.1443182222385942, 0.42927652596874044, 0.015278719429774268, 0.12047944150301572, -0.24245644591843638, -0.12566898843924285, -0.013007646843967435, 0.21942935172270725, 0.15190525286233447, 0.06199674815127571]","[-0.1617957055568695, -0.19447149336338043, 0.04487088695168495, -0.011959712952375412, 0.15589043498039246, -0.30067986249923706, -0.22720977663993835, -0.017652470618486404, 0.21960866451263428, 0.1526210606098175]","[0.24804507241852347, 0.14876441876867355, 0.015131897792969366, 0.0035228308888285314, -0.13382133182773603, 0.21394153324454074, -0.2492308373185401, -0.05455150021318969, -0.0643138000200383, 0.011881551307827106]"
132,N53290,basketball,Pasco County attorney accused of trying to sell a Porsche she didn't own,"Pasco County Sheriff's deputies arrested a Pasco County lawyer, accusing her of selling a car and trailer that did not belong to her. Investigators say 38-year-old attorney, Stephanie Carver purchased the business, ""All Store Self-Store"" at 10125 Land O' Lakes Blvd in August of 2018. One of the customers was storing a 1987 Porsche 944 and car trailer, valued at $20-thousand dollars inside one of the units, the arrest report says. Detectives say...","Pasco County attorney accused of trying to sell a Porsche she didn't own Pasco County Sheriff's deputies arrested a Pasco County lawyer, accusing her of selling a car and trailer that did not belong to her. Investigators say 38-year-old attorney, Stephanie Carver purchased the business, ""All Store Self-Store"" at 10125 Land O' Lakes Blvd in August of 2018. One of the customers was storing a 1987 Porsche 944 and car trailer, valued at $20-thousand dollars inside one of the units, the arrest report says. Detectives say...","[-0.032472790042616946, 0.04829819388627241, -0.0527908150352922, -0.021898109770329785, 0.03249720400277644, -0.018393101262169226, 0.0671161201505822, -0.03312103187649437, -0.0713357983744848, 0.0712190564503089]","[0.04519861564040184, -0.16251257061958313, -0.11210271716117859, 0.2037764936685562, 0.17990544438362122, -0.04785433039069176, -0.04983130097389221, -0.07488272339105606, 0.24094253778457642, -0.2800082266330719]","[0.05364731571962644, 0.240272709197802, 0.1759332453868381, -0.22298145644845094, -0.06220171774280641, 0.1578352587834104, 0.22930712477488693, 0.11213642024113801, -0.03742591751886068, -0.11720345886076715]"
133,N64080,golf,Van Rooyen faces a crucial stretch at end of European season,Erik Van Rooyen's travels in golf have taken him places he wasn't expecting without ever losing sight of the big picture.,Van Rooyen faces a crucial stretch at end of European season Erik Van Rooyen's travels in golf have taken him places he wasn't expecting without ever losing sight of the big picture.,"[-0.0645491876619671, 0.006014528610023006, -0.017270655416807196, -0.0028476507521999817, 0.02649337697616259, -0.011129288573803827, -0.0643107968919673, -0.06757315335567549, -0.017884490684279795, -0.05563264533878529]","[0.1527281403541565, -0.15318913757801056, 0.03675970062613487, 0.14462295174598694, -0.02318694442510605, -0.01660357415676117, -0.178817018866539, 0.17719487845897675, -0.10108078271150589, -0.049123115837574005]","[-0.08120935280304176, 0.13621129921156583, 0.007011901467933453, -0.10290082954967682, 0.17351496328326416, 0.014765100451474807, -0.025889176784763206, 0.2686172466273551, -0.03724318612266563, 0.03332144126189357]"
134,N31465,football,Bucs record watch: Week 9,Some franchise history was made last week. Could some more be on its way this Sunday against the Seahawks?,Bucs record watch: Week 9 Some franchise history was made last week. Could some more be on its way this Sunday against the Seahawks?,"[0.23432437935839354, -0.09764390307161001, 0.14499596727492567, -0.027904165596360213, 0.022249850522631055, 0.04239310604982658, -0.004638944508345663, -0.0018938534586832325, -0.02773677323085808, -0.02402068507689178]","[-0.20754796266555786, 0.19923801720142365, 0.15790437161922455, 0.09925568103790283, -0.12678195536136627, -0.03480842709541321, 0.13307666778564453, -0.10614968836307526, 0.03496995195746422, -0.012552072294056416]","[0.13406994856561671, -0.25969309433167265, -0.11022200833961059, -0.0024934112045356303, 0.04086216192952483, 0.024130852979898473, -0.003945954870235846, -0.010619838628009585, 0.06506653816943142, -0.20078671391446148]"
135,N8866,hockey,Wednesday Morning Fly By: It's big test time,"Today's open discussion thread, complete with your daily dose of Flyers news and notes…","Wednesday Morning Fly By: It's big test time Today's open discussion thread, complete with your daily dose of Flyers news and notes…","[-0.024062337393127634, -0.016201199922380314, -0.02777801527916224, 0.01460420052643421, 0.00031148268671245933, 0.04999065690385407, 0.035773609027495316, -0.02121678794520133, -0.07486449949576295, -0.030774422902157463]","[0.16547337174415588, 0.04930035397410393, 0.08940442651510239, 0.08675602823495865, -0.15347318351268768, -0.08833358436822891, -0.1234576627612114, 0.05629769712686539, -0.1724533587694168, -0.3016654849052429]","[-0.07097053876963821, -0.13001432075465477, -0.1441042606099665, 0.006521944058619588, -0.0014171917315617202, -0.040352974887880394, 0.21363454215847358, 0.11193409393427017, 0.06538956916800125, 0.04388336510876421]"
136,N33556,golf,2019 CJ Cup picks: The five stats that point to a Justin Thomas win this week,"With a stacked field at the 2019 CJ Cup, can our expert panel (which has correctly picked four of the five winners) keep up their hot streak?","2019 CJ Cup picks: The five stats that point to a Justin Thomas win this week With a stacked field at the 2019 CJ Cup, can our expert panel (which has correctly picked four of the five winners) keep up their hot streak?","[-0.0017841697258644046, -0.059240902950224945, 0.1682396302959512, -0.010861518787346805, -0.0019859713964091807, -0.030298036888189748, 0.10514646327750027, 0.04966088764032343, 0.016944758178536294, -0.03404885135530331]","[0.09251195937395096, 0.15970461070537567, 0.010564621537923813, 0.18311695754528046, 0.03248879685997963, 0.14747436344623566, 0.0958612859249115, 0.3551308810710907, 0.11566618829965591, -0.1643097698688507]","[-0.168497307412799, 0.01466674555447934, -0.050127936127440806, -0.18210051081628686, 0.14682807214983112, -0.20344522161456952, -0.07359441790613475, 0.09473540847462036, -0.19634800844508235, -0.074133937739373]"
137,N2485,football,Falcons vs. Saints: Hat Tips & Head-Scratchers,What a day in New Orleans.,Falcons vs. Saints: Hat Tips & Head-Scratchers What a day in New Orleans.,"[0.11134809252485009, 0.09416007956055322, -0.04433299660205413, -0.0016794024482700049, 0.00332124644809731, 0.05689022798745676, 0.04468935548369365, 0.12727983600519555, 0.014939114263016497, 0.07753773285806548]","[-0.16782473027706146, 0.26178157329559326, 0.19342632591724396, 0.1695019155740738, -0.05890453979372978, -0.03399138152599335, -0.00384345930069685, -0.07559598237276077, -0.06680849939584732, -0.17710629105567932]","[0.00577040441756455, -0.24716145135483555, -0.13149524488680822, -0.05810771980119582, -0.06107326763519539, 0.12653219029234333, -0.05497479062175931, 0.011017708654507864, 0.17986952825162061, -0.063834681282437]"
138,N41031,football,Kyle McCord and Marvin Harrison Jr. connect for 4 touchdowns to headline Ohio State football commits in the playoffs: Buckeyes recruiting,"COLUMBUS, Ohio -- Kyle McCord and Marvin Harrison Jr. helped St. Joseph's Prep (Pa.) High School to a 52-7 win over La Salle in the Catholic League Class 6A championship on Saturday. McCord completed 13-of-21 passes for 321 yards and five touchdowns. Six of those passes went to Harrison for 222 yards and four touchdowns. Here's a look at all six times the Ohio State commits connected: McCord ...","Kyle McCord and Marvin Harrison Jr. connect for 4 touchdowns to headline Ohio State football commits in the playoffs: Buckeyes recruiting COLUMBUS, Ohio -- Kyle McCord and Marvin Harrison Jr. helped St. Joseph's Prep (Pa.) High School to a 52-7 win over La Salle in the Catholic League Class 6A championship on Saturday. McCord completed 13-of-21 passes for 321 yards and five touchdowns. Six of those passes went to Harrison for 222 yards and four touchdowns. Here's a look at all six times the Ohio State commits connected: McCord ...","[-0.08671022169982139, -0.07855004342377023, -0.04129082024973832, -0.07046781068915227, -0.13992405605514563, -0.016182068737686437, -0.013835840348112268, 0.010204089011156782, 0.028509565841924114, -0.017012072437162986]","[-0.034778665751218796, 0.1764249950647354, -0.3396565616130829, 0.05265514552593231, 0.17229221761226654, 0.011754521168768406, 0.21361349523067474, 0.009242214262485504, 0.1470905989408493, 0.13205859065055847]","[-0.09077486465316272, -0.026790524486197894, 0.25697060700480623, 0.010798856625496135, 0.153408020744211, 0.03927857534921434, -0.09305742909173088, 0.05368863419608058, 0.008279326620001646, -0.0764169692996574]"
139,N7502,football,What happened to the Patriots-Ravens rivalry?,"This rivalry used to be one of the nastiest   and not coincidentally, one of the best   in the NFL.","What happened to the Patriots-Ravens rivalry? This rivalry used to be one of the nastiest   and not coincidentally, one of the best   in the NFL.","[0.14571965890610378, 0.170889375357316, 0.037250751457341996, -0.008770416573111988, 0.011054505735142167, -0.10625690597388243, -0.030878895340716334, -0.06651399766042895, 0.06699036193308472, -0.14807524551194445]","[-0.19687610864639282, 0.11315534263849258, 0.2001403123140335, 0.06177287548780441, -0.030092110857367516, -0.18560691177845, -0.0835154801607132, -0.23675893247127533, 0.1855422407388687, -0.02285810559988022]","[0.19075022207448436, -0.13304553039319764, -0.12518516917990075, -0.051847810838316334, -0.05882989401662014, 0.17354321637264278, -0.07682587887919062, -0.19640282037088805, -0.11594993748741565, -0.02697705377309381]"
140,N54941,football,20 games that will help decide CFP championship,"As we head into the second half of the season, it looks as if we know the 10 or so teams that have any real shot at getting one of those coveted four College Football Playoff slots...","20 games that will help decide CFP championship As we head into the second half of the season, it looks as if we know the 10 or so teams that have any real shot at getting one of those coveted four College Football Playoff slots...","[-0.0053302054546575045, -0.11733595064527212, 0.014967238301464214, -0.18817534573672098, -0.09534066362683281, -0.08305299564556877, 0.019209082416182528, 0.03643449686584791, 0.07604196271941663, 0.13573691879415178]","[0.12456494569778442, 0.35469090938568115, -0.12674270570278168, 0.101293183863163, -0.33383670449256897, 0.19149789214134216, -0.1109500601887703, 0.018738888204097748, 0.13001547753810883, 0.03248748555779457]","[-0.18808582244846964, -0.2232893459023293, -0.008636959937274537, -0.05616636066397216, 0.20841515782714784, -0.05977883415325654, -0.04236225632810835, -0.06418937312000966, -0.19421333650631709, 0.06327697256375671]"
141,N55270,football,Rutgers' latest loss comes with this jarring attendance number,"Rutgers' latest loss came before the smallest crowd in more than a decade, according to the attendance figure announced by the school during the 42-7 Big Ten setback Saturday evening to Minnesota. Rutgers announced a crowd of 26,429 fans. That marks the lowest announced attendance figure for a Rutgers home game since the school announced 21,717 for a rain-soaked 27-14 loss to West Virginia on ...","Rutgers' latest loss comes with this jarring attendance number Rutgers' latest loss came before the smallest crowd in more than a decade, according to the attendance figure announced by the school during the 42-7 Big Ten setback Saturday evening to Minnesota. Rutgers announced a crowd of 26,429 fans. That marks the lowest announced attendance figure for a Rutgers home game since the school announced 21,717 for a rain-soaked 27-14 loss to West Virginia on ...","[-0.029188790827579296, -0.007393894115192068, -0.0362379723139914, 0.009004438552175913, -0.07718398311425695, 0.02579282795340512, -0.027843915877868806, -0.012449071256886903, 0.000989734190284157, -0.0036731394802206312]","[0.04535810649394989, 0.19768166542053223, -0.0047057438641786575, -0.044619910418987274, -0.015590662136673927, 0.023312801495194435, -0.16267560422420502, -0.3022991120815277, 0.022777263075113297, 0.173024982213974]","[-0.14685299991062317, -0.11973606899932887, 0.25497287031440036, -0.046433500895970536, -0.0816701487373842, 0.13912182198584222, 0.060034502660316756, -0.16898399246238474, 0.018397169834247745, 0.014931393530489502]"
142,N33851,basketball,"Geno Auriemma goes off on Lady Vols, Phillip Fulmer as NCAA rejects Evina Westbrook waiver | Estes","The NCAA denied an appeal for Westbrook, a former Tennessee player, to be eligible immediately at UConn. What were the reasons she should have been?","Geno Auriemma goes off on Lady Vols, Phillip Fulmer as NCAA rejects Evina Westbrook waiver | Estes The NCAA denied an appeal for Westbrook, a former Tennessee player, to be eligible immediately at UConn. What were the reasons she should have been?","[-0.04575255895567176, 0.020367450260935067, -0.03546855750710432, -0.01257587229190612, 0.03912681684413832, -0.0005273872598375651, 0.005613369007439744, -0.01707562835811824, -0.027954106637840127, -0.005604272857332585]","[0.313308447599411, -0.0028910592664033175, -0.3025486171245575, -0.1821398138999939, -0.03450979292392731, -0.05361470580101013, -0.12947212159633636, -0.0068563730455935, 0.10740768164396286, 0.008260352537035942]","[-0.1400906074463401, 0.17378335710215995, 0.15625475364577815, 0.10562984883660458, -0.04959638042084764, 0.20822069300522664, 0.028664468927838825, -0.09407410935979323, -0.04529168761390944, 0.1651108860018185]"
143,N8345,football,Jeff Wilson being evaluated for a head injury,That did not look at all good,Jeff Wilson being evaluated for a head injury That did not look at all good,"[-0.030733076997310094, 0.001971882853893146, -0.08489122100302966, 0.04307357884624835, 0.09455115956199843, 0.0411119688169606, 0.061818465349065536, -0.04610087103676026, -0.008999560523764437, 0.046635678449329955]","[-0.10356573760509491, -0.14073491096496582, 0.0063512083142995834, 0.0682930126786232, 0.2232924997806549, -0.052082665264606476, -0.2148842066526413, -0.1300901472568512, -0.17452813684940338, 0.022434111684560776]","[0.14517527863891297, -0.01430141788245637, 0.14616003961859853, 0.00603620777348424, -0.08150950282503003, -0.05365143225154943, -0.048290257809135755, 0.080160499556859, 0.15785844345388111, 0.1670915906454218]"
144,N46497,football,The Patrick Mahomes injury: When will he be back? Is he at risk for further damage?,"Less than a week after the jarring image of a doctor popping his kneecap back into place, Chiefs quarterback Patrick Mahomes is throwing footballs on the practice field and participating in a collection of drills. After teammates slammed their helmets on the grass, glancing at what ""didn't look like a knee,"" optimism has publicly flooded the Chiefs' facility. But what lies ahead? When ...","The Patrick Mahomes injury: When will he be back? Is he at risk for further damage? Less than a week after the jarring image of a doctor popping his kneecap back into place, Chiefs quarterback Patrick Mahomes is throwing footballs on the practice field and participating in a collection of drills. After teammates slammed their helmets on the grass, glancing at what ""didn't look like a knee,"" optimism has publicly flooded the Chiefs' facility. But what lies ahead? When ...","[0.15004764748284347, -0.11130613043501698, -0.15925756506143152, 0.24701653827980422, 0.19927179438578693, -0.02855894463628664, 0.16632713153694906, -0.146409086283196, 0.3882389614157639, 0.25689525922245166]","[-0.3490990400314331, -0.06899216771125793, 0.018791915848851204, -0.08696979284286499, 0.15552207827568054, 0.15225070714950562, -0.08905921131372452, 0.05969972908496857, -0.15342901647090912, 0.14743955433368683]","[0.20849231563729115, -0.062340748507499044, 0.01893170929959106, 0.07939327660226168, -0.08772734231091843, -0.2726337039920772, -0.23663308528161112, 0.06468202604780152, -0.03907592623267223, 0.23343293825701214]"
145,N12127,football,The Longhorn Republic is hopeful about Iowa State,"Texas took a step forward defensively, but faces one of the best passers in the country Saturday.","The Longhorn Republic is hopeful about Iowa State Texas took a step forward defensively, but faces one of the best passers in the country Saturday.","[-0.11816485870207041, -0.052665208068748304, -0.05208352733802475, -0.04395053526038208, -0.07805152364755497, -0.003291580733166327, -0.08846056677212444, -0.022157716319824692, -0.015667009823779873, -0.053080422331115554]","[0.07993081957101822, 0.10422765463590622, -0.2104252129793167, -0.04045290872454643, -0.09635503590106964, 0.06825435906648636, 0.19611898064613342, 0.10820937156677246, -0.04563242942094803, 0.1615898311138153]","[-0.1819442714089212, -0.19377868211693014, 0.07597971117909635, 0.1009163141651438, 0.2428491035355422, -0.04055986577807086, -0.06783723805910805, 0.03402238099932111, 0.13220433615895957, 0.18018316245450897]"
146,N8964,football,USC assistant Keary Colbert's biggest play last week was getting home for birth of son,"Keary Colbert's long, sleepless and ultimately unforgettable Saturday began with an early flight out of Los Angeles International Airport. It ended with bowl eligibility and a new baby boy. When the Trojans receivers coach arrived at LAX Saturday morning, the rest of USC's coaching staff was already in Tempe, Ariz., preparing for a game at Arizona State. Colbert had stayed home the night ...","USC assistant Keary Colbert's biggest play last week was getting home for birth of son Keary Colbert's long, sleepless and ultimately unforgettable Saturday began with an early flight out of Los Angeles International Airport. It ended with bowl eligibility and a new baby boy. When the Trojans receivers coach arrived at LAX Saturday morning, the rest of USC's coaching staff was already in Tempe, Ariz., preparing for a game at Arizona State. Colbert had stayed home the night ...","[-0.01720756983037377, -0.03770951152727623, -0.04101680295752269, -0.0019987892219628235, -0.06296552596488791, 0.007714598430298269, -0.15157655433549289, 0.08825228697657177, 0.024440610171838333, 0.0272087840819459]","[-0.09032736718654633, -0.05331086739897728, -0.13745109736919403, 0.04235086962580681, -0.010115109384059906, -0.17185594141483307, -0.01964888721704483, -0.05143655836582184, -0.2092244178056717, -0.04593611881136894]","[-0.022624064115549392, 0.060769949255269684, 0.16415939061913407, -0.02943340377928734, 0.07981195323732936, 0.04139054260696774, -0.09709802575887211, 0.13150392150551113, 0.153877165152216, 0.08713088028389179]"
147,N1995,basketball,Michigan football opens as double-digit favorite vs. MSU,"If the oddsmakers in Las Vegas are correct, this year's Michigan-Michigan State game may not be a close one. The 14th-ranked Wolverines opened as 12-point favorites over the Spartans for Saturday's game in Ann Arbor (noon, FOX) at Circa Sports, the sports book at Las Vegas properties The D and Golden Gate. VegasInsider.com published the line Sunday afternoon. No other sports books in Nevada ...","Michigan football opens as double-digit favorite vs. MSU If the oddsmakers in Las Vegas are correct, this year's Michigan-Michigan State game may not be a close one. The 14th-ranked Wolverines opened as 12-point favorites over the Spartans for Saturday's game in Ann Arbor (noon, FOX) at Circa Sports, the sports book at Las Vegas properties The D and Golden Gate. VegasInsider.com published the line Sunday afternoon. No other sports books in Nevada ...","[-0.06974159875749526, -0.0768719953174643, -0.07927889548199149, -0.04673692812189419, -0.17581133059008, 0.05784994781750948, -0.10854571798792455, 0.011268414115843879, 0.04851904498170309, 0.05095211267658768]","[0.12739208340644836, 0.3397537171840668, -0.094087153673172, -0.05768852308392525, -0.10892179608345032, 0.12096381932497025, -0.11464156955480576, -0.013740276917815208, 0.09608440101146698, 0.30721285939216614]","[-0.18801499818861858, -0.17049564335184533, 0.1444006821627202, -0.03184049359802359, 0.04843210565219751, 0.046655915038978736, 0.019168612834030676, -0.1868826747977171, -0.214003845355106, 0.1466879249759419]"
148,N29321,football,USC president Robert Caslen: 'Muschamp is my coach ... through the end of the season',"University of South Carolina president Robert Caslen is sticking by embattled football coach Will Muschamp, at least through the final two games","USC president Robert Caslen: 'Muschamp is my coach ... through the end of the season' University of South Carolina president Robert Caslen is sticking by embattled football coach Will Muschamp, at least through the final two games","[-0.04660307132644135, -0.03152204514002827, -0.0699210340569133, -0.057001899023053235, -0.03134135691922112, -0.04062213005601771, -0.07419009419315545, 0.029417559773909495, -0.012300014393919133, 0.1325239323725073]","[0.08194822818040848, -0.05373682081699371, -0.3721977770328522, 0.06265261769294739, -0.15974201261997223, -0.11814403533935547, -0.09155427664518356, -0.03889533132314682, -0.05140560865402222, 0.2327682077884674]","[-0.05041256381284638, 0.14394363825631512, 0.16646756082114927, -0.005184033315697653, 0.19438875297007943, 0.15757124226768227, 0.025195376155198894, 0.07389621375134876, 0.014216076226781229, 0.23709336541449655]"
