news_id,general_category,title,abstract,text,tfidf_vector,sbert_vector,openai_vector
N913,basketball,ASK IRA: Would D'Angelo Russell make sense for Heat?,"Q: Ira, I know you don't do rumors. But do me a solid: Even if it's only a rumor (sorry) would you trade Justise Winslow and Dion Waiters for D'Angelo Russell? Why not get a second star now, with Golden State playing for the future? -- Zach. A: First of all, I can't fathom any deal involving Dion Waiters at the moment, but I appreciate the effort in attempting to match salaries. Also, keep in ...","ASK IRA: Would D'Angelo Russell make sense for Heat? Q: Ira, I know you don't do rumors. But do me a solid: Even if it's only a rumor (sorry) would you trade Justise Winslow and Dion Waiters for D'Angelo Russell? Why not get a second star now, with Golden State playing for the future? -- Zach. A: First of all, I can't fathom any deal involving Dion Waiters at the moment, but I appreciate the effort in attempting to match salaries. Also, keep in ...","[-0.062494004703500035, -0.00035334557907558157, -0.04257383632560698, -0.039523019536449586, -0.027604391844553343, 0.007416152115327732, -0.09726983722288955, -0.04099578512702664, -0.003477761797681831, 0.02887273534753259]","[-0.22948457300662994, -0.269331693649292, 0.009525678120553493, -0.02353937365114689, -0.1660984754562378, -0.06446703523397446, -0.16632165014743805, 0.17880970239639282, 0.12560774385929108, 0.28760015964508057]","[-0.18049869847406827, 0.19720706954055944, -0.03115009132071766, -0.04742626198862261, -0.029681249471192182, -0.08900784268996528, 0.08359449398707032, -0.188357025569012, -0.18383191638315316, 0.25514780713549035]"
N44623,basketball,Stephen A. Smith will reportedly be paid more than 300 NBA players,"This year, Stephen A. Smith will earn the same amount as Lou Williams ($8,000,000) and more than Luka Doncic, Derrick Rose and Jayson Tatum!","Stephen A. Smith will reportedly be paid more than 300 NBA players This year, Stephen A. Smith will earn the same amount as Lou Williams ($8,000,000) and more than Luka Doncic, Derrick Rose and Jayson Tatum!","[-0.047199114603860635, -0.01429089400158658, -0.010807215096785583, -0.0356570118625649, 0.0025778389519719894, -0.0025460694364086876, -0.047223435772205724, -0.008657509359692988, -0.004901542903120278, -0.004146668997161814]","[-0.07347328960895538, -0.16959123313426971, 0.0053934562020003796, -0.13462799787521362, -0.07902830839157104, -0.08930220454931259, -0.07790330052375793, 0.025518862530589104, 0.10742118209600449, 0.1868753433227539]","[0.017355998165081696, 0.14039751380863016, -0.010929951866691113, -0.04632332304052139, -0.014194170766172357, -0.014483356691028607, 0.014514165629986534, -0.05193881540412511, -0.14410643685560878, 0.2199102785780541]"
N4464,basketball,Legal team representing Wiseman confident as he remains on court,"MEMPHIS, Tenn.   Memphis Tiger basketball star James Wiseman is now just one week away from his first day in court against the NCAA, but thanks to a temporary restraining order, he is still allowed on the court. Wiseman is a force on the court, but his legal team said Wiseman feels uncomfortable being thrust into the national spotlight due to his pending lawsuit with the NCAA. ""He doesn't want ...","Legal team representing Wiseman confident as he remains on court MEMPHIS, Tenn.   Memphis Tiger basketball star James Wiseman is now just one week away from his first day in court against the NCAA, but thanks to a temporary restraining order, he is still allowed on the court. Wiseman is a force on the court, but his legal team said Wiseman feels uncomfortable being thrust into the national spotlight due to his pending lawsuit with the NCAA. ""He doesn't want ...","[-0.05400489382320289, 0.00931203692589123, 0.0361783861931813, -0.02253166888057081, -0.0810605635336861, 0.039741156761669984, -0.11053047622985959, 0.1457109368929006, 0.18119971937481735, -0.13767051214376955]","[0.0816703736782074, -0.1774524599313736, 0.1170186698436737, -0.24354542791843414, 0.17182232439517975, -0.054374877363443375, -0.17278863489627838, -0.03789611533284187, 0.0033447653986513615, 0.10357074439525604]","[-0.07986897732111625, 0.10280247235566244, -0.03143835840036013, -0.027574756343407728, 0.2416661368392846, 0.050051635046305595, 0.1290978242528236, -0.19807586764839127, -0.28466961119265477, 0.1657794636268842]"
N14573,basketball,New posts lead No. 18 ASU women to another blowout win,Ja'Tavia Tapley had a career high 18 points and Jayde Van Hyfte her first double-double in No. 18 ASU women's basketball's 83-51 win over Army.,New posts lead No. 18 ASU women to another blowout win Ja'Tavia Tapley had a career high 18 points and Jayde Van Hyfte her first double-double in No. 18 ASU women's basketball's 83-51 win over Army.,"[-0.03916177391789217, 0.005525359377507951, 0.02829434653580451, -0.021812600461368577, 0.0038292636183996907, -0.03168359739086128, -0.03323283937716703, 0.032393123932104764, 0.027870437415136434, 0.06199264336422089]","[-0.055118266493082047, 0.031178537756204605, -0.3326333165168762, -0.05052100121974945, 0.32451799511909485, 0.037380315363407135, -0.08913375437259674, -0.14961229264736176, 0.10906288772821426, 0.03404160961508751]","[-0.01665641341782988, -0.051070527458014686, -0.15025325983325935, 0.15658057939563358, 0.11206052608009415, 0.05354896591052496, -0.031897046903306726, 0.10237173318500489, -0.13295769843781943, 0.12156342814028036]"
N41489,basketball,Buddy Hield calls Kings' extension offer 'insult': 'Name one big free agent that came to Sacramento',The Kings have reportedly offered $90 million over four years. Hield reportedly wants $110 million over four years.,Buddy Hield calls Kings' extension offer 'insult': 'Name one big free agent that came to Sacramento' The Kings have reportedly offered $90 million over four years. Hield reportedly wants $110 million over four years.,"[-0.05176477930576586, -0.0026716377619132965, -0.05820101692977102, -0.030387912183885174, -0.07569798616554245, -0.01553129727741499, -0.003601428332361357, 0.029277617746117566, -0.10318954527958249, 0.13587175707160237]","[-0.1642632782459259, -0.29188984632492065, -0.08031460642814636, -0.04257950559258461, -0.036962125450372696, -0.01772456429898739, -0.01884019561111927, 0.03847251832485199, 0.026078663766384125, 0.1884252429008484]","[-0.09838723013463851, 0.1354976219812737, 0.12560716196188795, -0.11856392542208961, 0.014422679057419478, -0.03653657011365778, 0.04596213507125873, -0.029009854355342077, -0.09313992780044694, 0.30074876564232345]"
N48421,basketball,"Memphis, Wiseman have 1 more game, then it's back to court","James Wiseman has one more game before heading back to court with his attorneys as they take on the NCAA in a high-stakes battle to keep the 7-foot-1 freshman playing in what could be his only year with the Memphis Tigers, one that could prove costly for the university. The nation's top-rated recruit has been ruled likely ineligible by the NCAA for receiving improper benefits from Penny Hardaway   before the former NBA All-Star was hired as...","Memphis, Wiseman have 1 more game, then it's back to court James Wiseman has one more game before heading back to court with his attorneys as they take on the NCAA in a high-stakes battle to keep the 7-foot-1 freshman playing in what could be his only year with the Memphis Tigers, one that could prove costly for the university. The nation's top-rated recruit has been ruled likely ineligible by the NCAA for receiving improper benefits from Penny Hardaway   before the former NBA All-Star was hired as...","[-0.09901561039070864, -0.10478432951986343, 0.11535834662640213, -0.011156605294155393, -0.07603724669766464, -0.010844509539988343, -0.06239307244761482, 0.18385490051266606, 0.34093831224681426, -0.11475466562515048]","[-0.07274077087640762, -0.10748667269945145, 0.07576429098844528, -0.21533946692943573, 0.20587413012981415, 0.0005226631183177233, -0.20448046922683716, -0.03562255576252937, 0.11019610613584518, 0.05285044014453888]","[-0.07658576910906216, 0.10270409676192414, -0.0936793900125336, 0.0007408760677277535, 0.2697912181852103, -0.003982310013530148, 0.0937399267484104, -0.17168142352629925, -0.325328733898581, 0.2091478188698293]"
N32686,basketball,"Memphis judge rules in favor of TSSAA regarding James Wiseman, Ryan Boyce coaching link",The TSSAA's coaching link rule was upheld by a Memphis judge regarding former East players James Wiseman and Ryan Boyce.,"Memphis judge rules in favor of TSSAA regarding James Wiseman, Ryan Boyce coaching link The TSSAA's coaching link rule was upheld by a Memphis judge regarding former East players James Wiseman and Ryan Boyce.","[-0.03609014659921264, -0.024034534561936438, -0.0038311121053970307, -0.00648952343946625, -0.05382168420128072, 0.007560764284679009, -0.05387700486222063, 0.11198974952981569, 0.17467223972270912, -0.11621474105010927]","[-0.05986544117331505, -0.1307491660118103, 0.07743450254201889, -0.26719042658805847, 0.09768123179674149, -0.04345843940973282, -0.1089862808585167, -0.0337110310792923, 0.04388636723160744, -0.07087567448616028]","[-0.09406914808363179, 0.09407715130965702, -0.06975145637271962, -0.004206450160635415, 0.342288067324443, 0.005474651086098202, 0.1181459886392527, -0.03668126926323326, -0.21609399996436943, 0.05385178151794091]"
N44108,basketball,How to watch Cincinnati basketball take on Drake,"Here is the information you need to know to follow UC basketball vs. Drake on television, radio or online as well as three storylines to watch.","How to watch Cincinnati basketball take on Drake Here is the information you need to know to follow UC basketball vs. Drake on television, radio or online as well as three storylines to watch.","[-0.036842349451824116, 0.009183565195456829, -0.009664060924908268, 0.009878662388906107, -0.04134765306760197, 0.01841749099404668, -0.03831959861146028, 0.06301585178917839, -0.03042794083154956, -0.04524148235620981]","[-0.07938192039728165, 0.06946439296007156, -0.16149792075157166, -0.0942356139421463, 0.24842239916324615, -0.009918556548655033, -0.10970484465360641, 0.21768146753311157, -0.09972528368234634, 0.20365096628665924]","[-0.12995905255314075, -0.010324658166671255, -0.11834951110882003, 0.1384192879051583, 0.20245550856122405, -0.001551302099467388, -0.07234518184027823, -0.11284435384070753, -0.22502263511034967, 0.0011788888249574016]"
N44888,basketball,Phoenix Suns tip off season with blowout win over Sacramento Kings,The Phoenix Suns (0-1) open season with impressive win over Sacramento (0-1) after losing to the Kings by 17 points in the preseason.,Phoenix Suns tip off season with blowout win over Sacramento Kings The Phoenix Suns (0-1) open season with impressive win over Sacramento (0-1) after losing to the Kings by 17 points in the preseason.,"[0.0386803161066305, -0.025785574151906673, -0.001327893928001178, -0.03359190293025182, -0.023538750107484616, -0.08293357152794019, 0.08774152175778084, 0.08209332068463655, 0.0012791195994765624, 0.2200475221324944]","[-0.1205495223402977, 0.12294615805149078, -0.3653140068054199, 0.07727766782045364, -0.023660369217395782, -0.07343604415655136, -0.22668424248695374, 0.045162711292505264, -0.0053525990806519985, 0.13568158447742462]","[-0.14370470204022717, -0.13273476995797984, -0.1640376058031675, 0.22423543050807948, -0.05260513194653654, 0.026568844394897914, -0.0631202600489061, 0.05278035261192626, -0.21026311405642345, 0.2343714786407417]"
N53292,basketball,Kevin Durant: Draymond Green argument factored into departure from Warriors,"Kevin Durant said Thursday that his verbal altercation with Warriors forward Draymond Green last November played a role in his decision to leave Golden State for the Nets in free agency. ""I wish that wouldn't have happened,"" Durant said on ESPN's ""First Take."" ""I feel like that was a situation that definitely could have been avoided. It really came out of nowhere."" Durant's on-court argument with Green came during a loss to the Clippers early...","Kevin Durant: Draymond Green argument factored into departure from Warriors Kevin Durant said Thursday that his verbal altercation with Warriors forward Draymond Green last November played a role in his decision to leave Golden State for the Nets in free agency. ""I wish that wouldn't have happened,"" Durant said on ESPN's ""First Take."" ""I feel like that was a situation that definitely could have been avoided. It really came out of nowhere."" Durant's on-court argument with Green came during a loss to the Clippers early...","[-0.04325492460600877, -0.004247073692587557, -0.012625016547495772, -0.009707965329829463, -0.04518032156859214, 0.005468115669741225, -0.045493824594174344, 0.039304076420514505, 0.022905852191341208, -0.02368704833472029]","[-0.03549443930387497, -0.21646882593631744, 0.05009123310446739, -0.053145311772823334, -0.03878051042556763, -0.2198597937822342, -0.2925753891468048, -0.12258264422416687, -0.19208626449108124, 0.11699165403842926]","[-0.12031629216652034, 0.12397475063534688, 0.041347424623114304, 0.04353525207608962, -0.08822705404268441, -0.10771951815052443, 0.1941571443305203, -0.19888013583348327, -0.11610960853261311, 0.08384609532923594]"
N15044,basketball,Woj: Ayton facing 25-game suspension,Ayton was tested and found to have illegal diuretic in system,Woj: Ayton facing 25-game suspension Ayton was tested and found to have illegal diuretic in system,"[-0.1546966522607096, -0.274109545616779, 0.42931866850360834, 0.131991707565034, -0.055808927114799345, 0.007544182982717525, 0.12411150303978111, 0.19593729328840398, 0.43367237274019255, -0.038439293425340006]","[-0.03026387467980385, -0.14331796765327454, 0.08110954612493515, -0.12847651541233063, 0.020810000598430634, -0.15794777870178223, -0.23009353876113892, -0.08420030772686005, -0.059482213109731674, -0.044631991535425186]","[-0.06242946729782362, 0.16033276982167724, 0.03730031759495094, -0.03649112218796534, 0.01637304675451282, -0.09224441554798304, 0.24007455345324896, 0.021546105846408935, -0.14259170029251078, 0.14146890997587092]"
N9779,basketball,Injured Curry won't fret about missing season for Minnesota,"MINNEAPOLIS (AP) An ordinary scrimmage for Minnesota last week took a discouraging turn as Eric Curry's right knee jerked, popped and buckled when the lanky junior tried to make a move on defense.","Injured Curry won't fret about missing season for Minnesota MINNEAPOLIS (AP) An ordinary scrimmage for Minnesota last week took a discouraging turn as Eric Curry's right knee jerked, popped and buckled when the lanky junior tried to make a move on defense.","[-0.021510823181700063, -0.012027711882229918, -0.026777549125671367, -0.04730571751479271, -0.047160446692999576, -0.0011507339752264718, -0.048754831445112876, -0.006086311443835421, -0.006734951880168657, 0.042866940922173954]","[-0.14695610105991364, -0.18075735867023468, -0.026923151686787605, 0.05184115841984749, 0.038969747722148895, -0.2221670150756836, -0.23783010244369507, -0.013985718600451946, 0.06428928673267365, 0.16405001282691956]","[-0.11254761153794798, 0.16272058321950253, -0.06471722645578784, 0.08528796413449985, 0.12591605892326901, 0.03994915877471611, 0.28021688779078613, -0.04483078071978783, -0.060933892559221846, 0.14470285243595554]"
N39989,basketball,Arizona prep powerhouse Dream City Christian beats California's star-studded Sierra Canyon in exhibition,"Dream City Christian won 80-69, the 13th and final preseason game before its regular season begins Nov. 14.","Arizona prep powerhouse Dream City Christian beats California's star-studded Sierra Canyon in exhibition Dream City Christian won 80-69, the 13th and final preseason game before its regular season begins Nov. 14.","[-0.04156252173224853, -0.022775226043020246, 0.06383266756103792, -0.033022680597202515, -0.008271743010201685, -0.00494944324004018, 0.028121537219295285, 0.05418155982440608, 0.0755552468123637, 0.07553928639491024]","[-0.10158612579107285, 0.19487415254116058, -0.15927991271018982, 0.07924459129571915, 0.2187315821647644, 0.1746312379837036, -0.1214158833026886, 0.0714014321565628, 0.03504001721739769, -0.1803838610649109]","[-0.05042880634533344, -0.09972757700403262, -0.04590162604144572, 0.18759858105528973, 0.20127085174532613, 0.008596564668015338, -0.1664818998579523, 0.022885150408705347, -0.20744937530573593, 0.11234658980303325]"
N19735,basketball,Cassius Winston posts heartfelt message to late brother on Instagram,"Remarkably, Winston was able to play in Sunday's game just a day after his brother passed. The senior played 26 minutes and registered a double-double with 17 points and 11 assists.","Cassius Winston posts heartfelt message to late brother on Instagram Remarkably, Winston was able to play in Sunday's game just a day after his brother passed. The senior played 26 minutes and registered a double-double with 17 points and 11 assists.","[-0.05781498922533477, -0.05892810457127222, 0.10430978066851061, -0.018531525354365853, -0.04040019394715485, -0.03297551401487447, 0.03157915934359195, 0.0810729968926657, 0.11832029593549713, 0.029293880817980292]","[-0.10291031748056412, 0.013434241525828838, 0.012379856780171394, -0.03943394124507904, 0.1512080878019333, -0.1434946209192276, -0.15823234617710114, -0.16465280950069427, 0.19048568606376648, 0.11304298043251038]","[-0.049343760293447544, 0.040982586604704004, -0.06788942599908453, 0.1453276347197892, 0.10567318171636066, 0.032242008306960564, 0.16013289143304643, -0.04886231279256785, -0.15641114512147394, 0.14173746121577305]"
N11701,basketball,LeBron James addresses 'tough situation' after China backlash,"LeBron James made headlines with his remarks Monday about China, Hong Kong and a pro-Hong Kong tweet, some would say for all the wrong reasons.","LeBron James addresses 'tough situation' after China backlash LeBron James made headlines with his remarks Monday about China, Hong Kong and a pro-Hong Kong tweet, some would say for all the wrong reasons.","[-0.03824581170936813, -0.007343811130122703, -0.0077161985502867325, -0.0036279290702627472, -0.04882605932659692, -0.0035601816626953026, -0.026058832972113342, 0.027289251917593987, 0.04274332282527856, -0.10372561393138127]","[0.07286912202835083, -0.19438153505325317, 0.012443567626178265, -0.0659460499882698, 0.03451365604996681, -0.12252115458250046, -0.08374303579330444, -0.044136207550764084, -0.22044497728347778, 0.1334979236125946]","[-0.08169727510538277, 0.2100715780611694, -0.014857944529567733, -0.05471022190955846, -0.06782899640726824, 0.004964794708314892, 0.13166821486243172, -0.2302224649840149, -0.10476216020728299, 0.088937801935646]"
N20167,basketball,"Devin Booker wants wins, not scoring titles, and he wants them in Phoenix Arizona","Booker wants to keep on winning games, says the rest will work itself out.","Devin Booker wants wins, not scoring titles, and he wants them in Phoenix Arizona Booker wants to keep on winning games, says the rest will work itself out.","[-0.012246112416131947, -0.03524458912571523, -0.0933457918807731, 0.07112042425663247, 0.007788167834704061, -0.0007693115529113963, 0.014757933079965561, -0.011825033278260013, -0.014858886510956295, 0.08306165881081545]","[-0.09249561280012131, -0.006448330823332071, -0.0358957014977932, 0.10606864094734192, -0.042973022907972336, 0.005198383238166571, -0.06227948144078255, 0.055270880460739136, 0.04316074773669243, 0.19642603397369385]","[-0.020849010179487412, 0.017634292627780865, 0.009233675616251599, -0.004571416479112958, -0.1354758982631414, 0.053346894090383096, -0.0957845843760983, -0.2171812566766739, -0.13842559429885684, 0.3257756150471253]"
N36784,basketball,Coby White's team-record 7 4th-quarter 3-pointers leads the Bulls past the Knicks 120-102,"The Bulls got more of the 3-pointers and free throws they've been wanting, but they squandered yet another lead in the third quarter against the Knicks on Tuesday night. Thank the stars for Coby White. The rookie drilled a team-record seven fourth-quarter 3-pointers to boost the Bulls to a 120-102 win at the United Center. Seconds after his sixth trey gave Chicago a 109-89 edge with just under ...","Coby White's team-record 7 4th-quarter 3-pointers leads the Bulls past the Knicks 120-102 The Bulls got more of the 3-pointers and free throws they've been wanting, but they squandered yet another lead in the third quarter against the Knicks on Tuesday night. Thank the stars for Coby White. The rookie drilled a team-record seven fourth-quarter 3-pointers to boost the Bulls to a 120-102 win at the United Center. Seconds after his sixth trey gave Chicago a 109-89 edge with just under ...","[-0.04998164169740653, -0.0009870305141856071, 0.025507713207350995, -0.025268765280892568, -0.012798327649019179, 0.028262097819989045, -0.05057583922329476, -0.0012912684661362894, -0.029653691172665364, -0.007476714124594147]","[-0.06653085350990295, -0.036916352808475494, -0.3219991624355316, 0.07031650841236115, 0.10007219761610031, -0.026934167370200157, -0.1930537223815918, -0.17864258587360382, 0.08486833423376083, 0.13891838490962982]","[-0.10000654941137896, -0.025881834274052638, -0.12319464286772391, 0.08161590571130178, -0.10038032706972833, 0.14332195734923373, 0.054272982772010224, 0.07274456518870925, -0.20171972341881497, 0.1696235269119139]"
N9289,basketball,Mark Jackson is name to watch in potential Knicks head coach search,"The New York Knicks may be headed for another head coaching search in the weeks and months to come, and there may already be a potential favorite to get the job when that search happens.","Mark Jackson is name to watch in potential Knicks head coach search The New York Knicks may be headed for another head coaching search in the weeks and months to come, and there may already be a potential favorite to get the job when that search happens.","[-0.052887783318149424, 0.016327668761077836, -0.042215310720000204, -0.010116368318407159, -0.05163880154935849, 0.052694949628901123, -0.07149268407309739, -0.012948768133384784, -0.026905001371421954, -0.02136357647837888]","[-0.1805657148361206, -0.20636959373950958, 0.016330085694789886, -0.18608829379081726, -0.07968442887067795, -0.015950771048665047, 0.06905175745487213, 0.16416874527931213, 0.1350725144147873, 0.20786358416080475]","[-0.10902892267629033, 0.11126338713194853, 0.04192622405491319, -0.10584706802830096, 0.0495969234190918, 0.01893726939602098, -0.05075132766848484, -0.06658980843232165, -0.12647046232815476, 0.1497030393067218]"
N388,basketball,NBA conference imbalance could haunt the West this season,Will young stars in the West miss out on the playoffs because of conference imbalance?,NBA conference imbalance could haunt the West this season Will young stars in the West miss out on the playoffs because of conference imbalance?,"[-0.035124490828472084, -0.024392171354717794, -0.02915843120032112, -0.039578797685448294, -0.04225356989235107, -0.011781794914627906, -0.0024525035408737334, 0.0062946657346514105, 0.03508745178437231, 0.05883501432807512]","[-0.1290677934885025, -0.038256578147411346, -0.18986228108406067, -0.022253556177020073, -0.04495759308338165, -0.032300952821969986, -0.12848122417926788, 0.1319703310728073, 0.028373248875141144, 0.1805851310491562]","[-0.18077887062407708, -0.006673433621365626, -0.12459832779398297, 0.019070151125853065, -0.06294161621119697, -0.05639349814037943, 0.03636683433171489, -0.22815828024409032, -0.10670461298870926, 0.21085223192585872]"
N14927,basketball,"Colorado State football coach Mike Bobo's buyout not unusual in college football, Mountain West",Colorado State football coach Mike Bobo is the second-highest paid coach in the Mountain West and his buyout is the fourth-largest.,"Colorado State football coach Mike Bobo's buyout not unusual in college football, Mountain West Colorado State football coach Mike Bobo is the second-highest paid coach in the Mountain West and his buyout is the fourth-largest.","[-0.07428945029747804, -0.009170498934851974, -0.0435908378490606, -0.08035325156840659, -0.10046851258440437, 0.015696899675708146, -0.197077864474096, 0.06839206435287905, 0.04662376054586323, 0.16238794287427885]","[-0.23844565451145172, -0.0749891996383667, 0.12496413290500641, -0.18747977912425995, 0.13527169823646545, 0.010054237209260464, 0.02491890825331211, 0.0846620723605156, 0.14623311161994934, -0.15403996407985687]","[-0.14147063558978648, 0.0763428438054351, 0.09714754843854301, -0.032592726758619774, 0.31746400577933914, -0.030225456201431827, -0.004454984689328158, 0.0671303056690808, -0.02954481425879525, -0.06168514826818416]"
N7520,basketball,Clippers resting Kawhi Leonard for nationally televised game at Jazz,"A couple years ago, NBA commissioner Adam Silver received power to fine teams for resting players in nationally televised games. Teams were also encouraged not to rest players on the road.","Clippers resting Kawhi Leonard for nationally televised game at Jazz A couple years ago, NBA commissioner Adam Silver received power to fine teams for resting players in nationally televised games. Teams were also encouraged not to rest players on the road.","[-0.06844744146671748, -0.07137161142720834, 0.04609448706700237, -0.031795765505729844, -0.06436654671122125, 0.014187908254311486, -0.0406967219455341, 0.01179134812049841, 0.07233381298167259, 0.01249162356046134]","[-0.11554431915283203, -0.12614718079566956, -0.07915661484003067, -0.15930935740470886, -0.03559965267777443, -0.1449771374464035, -0.27219337224960327, 0.0361766554415226, -0.2845516800880432, 0.17512686550617218]","[-0.0973177947306852, 0.07089314365521429, -0.048266925298200675, -0.07871949182995014, -0.026315107698465123, -0.010075335087525322, 0.1621395275344388, -0.08909590496022055, -0.12951774189659265, 0.1447517350722002]"
N41200,basketball,NBA Stars Show Love For Gordon Hayward After Celtics Star Fractures Hand,https://www.dailymotion.com/embed/video/x ntycn Gordon Hayward is no stranger to receiving digital thoughts and prayers from fellow NBA players. The Boston Celtics star suffered a fractured left hand Saturday night against the San Antonio,NBA Stars Show Love For Gordon Hayward After Celtics Star Fractures Hand https://www.dailymotion.com/embed/video/x ntycn Gordon Hayward is no stranger to receiving digital thoughts and prayers from fellow NBA players. The Boston Celtics star suffered a fractured left hand Saturday night against the San Antonio,"[-0.11981932821923526, -0.04575529448675197, -0.07723477758887932, 0.009787601356894656, -0.1491318177120383, 0.04900175339428026, 0.2135649283022546, -0.35878255270579706, 0.15401041856345807, 0.015751172587412144]","[-0.05532323941588402, -0.19775761663913727, -0.057884376496076584, 0.08266391605138779, -0.053797319531440735, -0.25145313143730164, -0.20055072009563446, -0.09285897761583328, 0.0021674411837011576, 0.18283595144748688]","[-0.048298410916975794, 0.12338601406116037, -0.058187560123319, 0.05573973921990827, -0.10817293983516445, 0.06699225284459936, 0.23278640109037432, -0.048262865306530664, -0.04615841236337325, 0.1318445878543602]"
N62754,basketball,"Cleveland Cavaliers nearly pull off upset against Philadelphia 76ers, lose 98-97: Chris Fedor's instant analysis","PHILADELPHIA -- The Cleveland Cavaliers had the Philadelphia 76ers on the ropes, with the restless crowd booing the home team for the second straight game. They were eyeing a chance to punctuate a triumphant three-game road trip with an improbable upset. It was in their grasp. Then, because of a cranked-up Philadelphia defense, a few mistakes by Cleveland at both ends, a couple missed free ...","Cleveland Cavaliers nearly pull off upset against Philadelphia 76ers, lose 98-97: Chris Fedor's instant analysis PHILADELPHIA -- The Cleveland Cavaliers had the Philadelphia 76ers on the ropes, with the restless crowd booing the home team for the second straight game. They were eyeing a chance to punctuate a triumphant three-game road trip with an improbable upset. It was in their grasp. Then, because of a cranked-up Philadelphia defense, a few mistakes by Cleveland at both ends, a couple missed free ...","[-0.06840199358043214, -0.06193382177626897, 0.09925630164248977, 0.010447031411844302, -0.029943174530442106, 0.0181054159700038, 0.009482651698092459, 0.03735334625354672, 0.08784642895529682, 0.004044924300311392]","[-0.02228991873562336, -0.01755133830010891, -0.3113217055797577, 0.06315135955810547, 0.0873342826962471, 0.011513357050716877, -0.28503942489624023, -0.07261469960212708, -0.07465147972106934, 0.11935245990753174]","[-0.19489141096414286, 0.005236678388622576, -0.18936982167135127, 0.19913173563244257, -0.09972504676849915, -0.02140418174479232, 0.05603285830314346, 0.026815226541324535, -0.13681856070146362, -0.006435006575172783]"
N60432,basketball,Rodman offers to be NBA's ambassador amid China controversy,Dennis Rodman wants to help make peace between the NBA and China.,Rodman offers to be NBA's ambassador amid China controversy Dennis Rodman wants to help make peace between the NBA and China.,"[-0.052640101040751765, -0.0021000541859030972, -0.05835692671064931, 0.009188034759698602, -0.05813191031059221, 0.014315966923629759, -0.01688570576581816, -0.032162156566258975, 0.01945633339890877, -0.03657933335788478]","[0.01578831672668457, -0.294421911239624, -0.06277800351381302, -0.10390304774045944, -0.07890371978282928, -0.09345758706331253, -0.12018916010856628, 0.17482390999794006, -0.09907203167676926, 0.21144859492778778]","[-0.02286627255085238, 0.2188775939969637, 0.07544827337848559, -0.11465946963934362, 0.00718336064169311, -0.057123778595684634, 0.05665664068461894, -0.24794381510929558, -0.15466024708695603, 0.1844186831674776]"
N35249,basketball,Can James Wiseman and Memphis topple the NCAA as we know it? | Giannotto,"Memphis, through its support of James Wiseman and Penny Hardaway, is electing to be the first university to rebel in the growing war against the NCAA.","Can James Wiseman and Memphis topple the NCAA as we know it? | Giannotto Memphis, through its support of James Wiseman and Penny Hardaway, is electing to be the first university to rebel in the growing war against the NCAA.","[-0.062158908330297136, -0.030121547094021435, 0.02823919828404692, -0.003760243659213468, -0.06571301680255301, -0.001452949172534251, -0.07520365578728774, 0.16164713105166256, 0.24131085263786356, -0.13405869645209373]","[-0.04557308182120323, 0.010165315121412277, 0.0024117291904985905, -0.2678799331188202, 0.22018063068389893, 0.055050261318683624, -0.09166083484888077, 0.004612493794411421, 0.11836864799261093, 0.0021921375300735235]","[-0.12084460602426696, 0.04954927529187514, -0.06612106431550922, 0.013156512577219908, 0.2529014268961364, -0.0068235724304973, -0.019406022263226717, -0.21301597585258286, -0.26091717184530283, 0.16990359278735984]"
N62596,basketball,"Heat waive Martin, Mulder, with more moves to follow","The Miami Heat have begun the process of finalizing their roster in advance of next Monday's NBA-mandated deadline, waiving guards Jeremiah Martin and Mychal Mulder. Tuesday's dual moves leave the Heat with 18 players, two below the NBA offseason maximum. While teams are limited to 15 players during the regular season, the Heat are expected to carry 14 due to their position against the hard ...","Heat waive Martin, Mulder, with more moves to follow The Miami Heat have begun the process of finalizing their roster in advance of next Monday's NBA-mandated deadline, waiving guards Jeremiah Martin and Mychal Mulder. Tuesday's dual moves leave the Heat with 18 players, two below the NBA offseason maximum. While teams are limited to 15 players during the regular season, the Heat are expected to carry 14 due to their position against the hard ...","[-0.034753006218345955, -0.03149538844966231, -0.020369215381531004, -0.05341763028120007, -0.06459611387397948, 0.006171065292787749, -0.045380710872295275, -0.035961037875914766, -0.030934988027618817, -0.003436006729610788]","[-0.22029830515384674, -0.14443068206310272, -0.010962923057377338, 0.02885482646524906, -0.19881482422351837, -0.0027007553726434708, -0.1823069155216217, 0.10383450984954834, 0.11942929029464722, 0.1654258370399475]","[-0.1653611991847761, 0.09738882160320532, 0.0523133750434291, -0.026949555064654244, 0.08631684199300352, -0.1561925393914405, 0.07296162761864751, 0.05748911832299167, -0.14414458132429614, 0.22998284141189945]"
